Product,Type,Release Date,Process Size (nm),TDP (W),Cores,Freq (MHz),Foundry,Vendor,Benchmark
AMD Sempron 2200+,CPU,2004-08-01,130,62,1,1500,Unknown,AMD,184
AMD Sempron 2200+,CPU,2001-01-01,130,62,1,1500,Unknown,AMD,184
AMD Sempron 2200+,CPU,2004-07-28,130,62,1,1500,Unknown,AMD,184
Intel Celeron 2.80GHz,CPU,2003-11-03,130,73,1,2800,Intel,Intel,190
AMD Athlon 1500+,CPU,2005-11-07,90,9,1,1000,Unknown,AMD,191
AMD Athlon 1500+,CPU,2000-10-31,180,54,1,1000,Unknown,AMD,191
Intel Pentium III 1400,CPU,2001-12-01,130,31,1,1400,Intel,Intel,193
Intel Pentium III 1400S,CPU,2002-01-08,130,32,1,1400,Intel,Intel,194
Intel Core Solo T1350,CPU,2006-01-05,65,27,1,1866,Intel,Intel,194
AMD Athlon XP 1800+,CPU,2002-06-10,130,51,1,1533,Unknown,AMD,195
AMD Athlon XP 2000+,CPU,2003-09-01,130,60,1,1667,Unknown,AMD,195
AMD Athlon XP 2000+,CPU,2002-06-10,130,60,1,1667,Unknown,AMD,195
AMD Athlon XP 1800+,CPU,2001-01-01,130,51,1,1533,Unknown,AMD,195
AMD Athlon XP 2000+,CPU,2002-01-07,180,70,1,1667,Unknown,AMD,195
AMD Athlon XP 2000+,CPU,2003-09-01,130,60,1,1667,Unknown,AMD,195
AMD Athlon XP 1800+,CPU,2001-10-09,180,66,1,1533,Unknown,AMD,195
AMD Athlon XP 2000+,CPU,2002-06-10,130,60,1,1667,Unknown,AMD,195
AMD Athlon XP-M 2000+,CPU,2001-01-01,130,45,1,1533,Unknown,AMD,196
Intel Pentium M 1.30GHz,CPU,2003-03-12,130,24,1,1300,Intel,Intel,196
AMD Athlon XP 1900+,CPU,2001-11-05,180,68,1,1600,Unknown,AMD,203
AMD Athlon XP 1900+,CPU,2001-01-01,130,53,1,1600,Unknown,AMD,203
AMD Sempron 2400+,CPU,2004-08-01,130,62,1,1667,Unknown,AMD,205
AMD Sempron 2400+,CPU,2004-07-28,130,62,1,1667,Unknown,AMD,205
AMD Sempron 2400+,CPU,2001-01-01,130,62,1,1667,Unknown,AMD,205
AMD Sempron 2500+,CPU,2004-07-28,130,62,1,1750,Unknown,AMD,207
AMD Sempron 2500+,CPU,2005-07-07,90,62,1,1400,Unknown,AMD,207
AMD Sempron 2300+,CPU,2004-07-28,130,62,1,1583,Unknown,AMD,207
AMD Sempron 2300+,CPU,2001-01-01,130,62,1,1583,Unknown,AMD,207
AMD Sempron 2500+,CPU,2001-01-01,130,62,1,1750,Unknown,AMD,207
Intel Celeron 220,CPU,2007-10-21,65,19,1,1200,Intel,Intel,209
Intel Core Solo T1300,CPU,2006-01-05,65,27,1,1500,Intel,Intel,210
AMD Athlon XP 2100+,CPU,2002-03-13,180,72,1,1733,Unknown,AMD,210
Intel Atom 230,CPU,2008-06-03,45,4,1,1600,Intel,Intel,210
Intel Core Solo T1300,CPU,2006-01-05,65,27,1,1660,Intel,Intel,210
AMD Athlon XP 2100+,CPU,2001-01-01,130,62,1,1733,Unknown,AMD,210
Intel Celeron 723,CPU,2011-07-01,32,17,1,1300,Intel,Intel,213
AMD Athlon XP 2200+,CPU,2002-06-10,130,68,1,1800,Unknown,AMD,214
AMD Athlon XP 2200+,CPU,2003-09-01,130,63,1,1800,Unknown,AMD,214
AMD Athlon XP 2200+,CPU,2001-01-01,130,63,1,1800,Unknown,AMD,214
AMD Athlon XP 2200+,CPU,2003-09-01,130,63,1,1800,Unknown,AMD,214
Intel Pentium 42.60GHz,CPU,2002-08-25,130,92,1,2600,Intel,Intel,215
Intel Atom D425,CPU,2010-06-21,45,10,1,1834,Intel,Intel,222
Intel Atom N470,CPU,2010-03-01,45,7,1,1834,Intel,Intel,224
AMD Athlon XP-M 2400+,CPU,2001-01-01,130,45,1,1800,Unknown,AMD,225
AMD Athlon XP-M 2500+,CPU,2001-01-01,130,45,1,1862,Unknown,AMD,226
Intel Pentium M 2.26GHz,CPU,2005-07-25,90,27,1,2260,Intel,Intel,227
Intel Pentium M 1.60GHz,CPU,2003-03-12,130,24,1,1600,Intel,Intel,229
AMD Athlon XP 2500+,CPU,2003-02-10,130,68,1,1833,Unknown,AMD,231
AMD Athlon XP 2500+,CPU,2003-02-10,130,68,1,1833,Unknown,AMD,231
Intel Celeron D 347,CPU,2004-09-22,90,84,1,2930,Intel,Intel,232
Intel Celeron D 347,CPU,2004-09-22,90,84,1,2930,Intel,Intel,232
Intel Celeron D 347,CPU,2004-10-01,90,73,1,3060,Intel,Intel,232
Intel Celeron D 347,CPU,2004-06-24,90,84,1,2800,Intel,Intel,232
Intel Core2 Solo U2100,CPU,2007-09-01,65,5,1,1067,Intel,Intel,233
AMD Athlon XP 2400+,CPU,2002-08-21,130,68,1,2000,Unknown,AMD,234
AMD Athlon XP 2400+,CPU,2003-09-01,130,68,1,2000,Unknown,AMD,234
AMD Athlon XP 2400+,CPU,2003-09-01,130,68,1,2000,Unknown,AMD,234
AMD Phenom X4 9950,CPU,2008-10-01,65,125,4,2600,Unknown,AMD,234
AMD Athlon XP 2400+,CPU,2002-08-21,130,65,1,2000,Unknown,AMD,234
AMD Phenom X4 9950,CPU,2008-03-27,65,140,4,2600,Unknown,AMD,234
Intel Celeron 420,CPU,2007-06-03,65,35,1,1600,Intel,Intel,235
AMD Athlon XP-M 2200+,CPU,2001-01-01,130,45,1,1667,Unknown,AMD,237
AMD Athlon XP-M 2200+,CPU,2002-11-11,130,45,1,1800,Unknown,AMD,237
AMD Athlon XP-M 3000+,CPU,2001-01-01,130,45,1,2200,Unknown,AMD,238
Intel Pentium M 1.70GHz,CPU,2003-06-02,130,24,1,1700,Intel,Intel,239
Intel Pentium SU2700,CPU,2009-06-02,45,10,1,1300,Intel,Intel,239
Intel Pentium M 1.50GHz,CPU,2004-06-23,90,21,1,1500,Intel,Intel,240
Intel Pentium M 1.50GHz,CPU,2003-03-12,130,24,1,1500,Intel,Intel,240
AMD Athlon XP-M 2600+,CPU,2001-01-01,130,45,1,2000,Unknown,AMD,241
AMD Athlon XP 2600+,CPU,2002-10-01,130,68,1,2133,Unknown,AMD,242
AMD Athlon XP 2600+,CPU,2003-09-01,130,68,1,2083,Unknown,AMD,242
AMD Athlon XP 2600+,CPU,2001-01-01,130,68,1,1917,Unknown,AMD,242
AMD Athlon XP 2600+,CPU,2002-08-21,130,68,1,2083,Unknown,AMD,242
AMD Athlon XP 2600+,CPU,2003-09-01,130,68,1,2133,Unknown,AMD,242
AMD Athlon XP 2600+,CPU,2001-01-01,130,68,1,1917,Unknown,AMD,242
AMD Sempron 2800+,CPU,2004-08-01,130,62,1,1992,Unknown,AMD,243
AMD Sempron 2800+,CPU,2006-05-23,90,62,1,1600,Unknown,AMD,243
AMD Sempron 2800+,CPU,2004-07-28,90,25,1,1600,Unknown,AMD,243
AMD Sempron 2800+,CPU,2005-07-15,90,25,1,1600,Unknown,AMD,243
AMD Sempron 2800+,CPU,2004-07-28,90,62,1,1600,Unknown,AMD,243
AMD Sempron 2800+,CPU,2001-01-01,130,25,1,1600,Unknown,AMD,243
AMD Sempron 2800+,CPU,2004-08-01,90,62,1,1600,Unknown,AMD,243
AMD Sempron 2800+,CPU,2001-01-01,130,62,1,2000,Unknown,AMD,243
AMD Sempron 2800+,CPU,2004-07-28,130,62,1,1992,Unknown,AMD,243
AMD Athlon 64 2600+,CPU,2009-01-01,65,15,1,1600,Unknown,AMD,243
AMD Athlon 64 2600+,CPU,2008-01-01,65,15,1,1600,Unknown,AMD,243
AMD Turion 64 MT-30,CPU,2005-03-10,90,22,1,1600,Unknown,AMD,246
Intel Pentium 43.06GHz,CPU,2003-06-11,130,70,1,3067,Intel,Intel,249
AMD Sempron LE-1150,CPU,2007-08-01,65,45,1,2000,Unknown,AMD,251
Intel Celeron D 356,CPU,2004-06-24,90,73,1,2533,Intel,Intel,251
Intel Core2 Solo U3500,CPU,2009-03-29,45,5,1,1400,Intel,Intel,252
Intel Core2 Solo U3500,CPU,2008-05-01,45,5,1,1200,Intel,Intel,252
Intel Core Solo T1400,CPU,2006-01-05,65,27,1,1833,Intel,Intel,253
AMD Turion 64 ML-28,CPU,2005-06-22,90,32,1,1600,Unknown,AMD,254
AMD Sempron 2600+,CPU,2004-07-28,90,62,1,1600,Unknown,AMD,256
AMD Sempron 2600+,CPU,2001-01-01,130,62,1,1833,Unknown,AMD,256
AMD Sempron 2600+,CPU,2004-07-28,90,25,1,1600,Unknown,AMD,256
AMD Sempron 2600+,CPU,2004-08-01,90,62,1,1600,Unknown,AMD,256
AMD Sempron 2600+,CPU,2001-01-01,130,25,1,1600,Unknown,AMD,256
AMD Sempron 2600+,CPU,2004-07-28,130,62,1,1833,Unknown,AMD,256
AMD Athlon XP 2700+,CPU,2002-10-01,130,68,1,2167,Unknown,AMD,256
Intel Xeon 2.80GHz,CPU,2005-10-10,90,135,1,2800,Intel,Intel,260
AMD Athlon XP 2800+,CPU,2001-01-01,130,68,1,2083,Unknown,AMD,260
AMD C-50,CPU,2011-01-04,40,9,2,1000,Unknown,AMD,260
AMD Athlon XP 2800+,CPU,2001-01-01,130,68,1,2083,Unknown,AMD,260
Intel Xeon 2.80GHz,CPU,2002-09-11,130,89,1,2790,Intel,Intel,260
AMD Athlon XP 2800+,CPU,2002-10-01,130,74,1,2250,Unknown,AMD,260
Intel Xeon 2.80GHz,CPU,2004-06-28,90,135,1,2800,Intel,Intel,260
AMD Athlon XP 3000+,CPU,2001-01-01,130,68,1,2100,Unknown,AMD,262
AMD Athlon XP 3000+,CPU,2001-01-01,130,68,1,2167,Unknown,AMD,262
AMD Z-60,CPU,2012-10-09,40,5,2,1000,Unknown,AMD,262
Intel Atom N550,CPU,2010-08-23,45,9,2,1500,Intel,Intel,265
AMD Sempron 3000+,CPU,2001-01-01,130,25,1,1800,Unknown,AMD,269
AMD Sempron 3000+,CPU,2005-07-15,90,25,1,1800,Unknown,AMD,269
AMD Sempron 3000+,CPU,2004-07-28,90,62,1,1800,Unknown,AMD,269
AMD Sempron 3000+,CPU,2004-09-17,130,62,1,2000,Unknown,AMD,269
AMD Sempron 3000+,CPU,2004-11-23,90,25,1,1800,Unknown,AMD,269
AMD Sempron 3000+,CPU,2006-05-23,90,62,1,1600,Unknown,AMD,269
AMD Sempron 3000+,CPU,2006-05-23,90,35,1,1600,Unknown,AMD,269
AMD Sempron 3000+,CPU,2005-02-15,130,62,1,1800,Unknown,AMD,269
AMD Sempron 3000+,CPU,2005-10-01,90,62,1,1800,Unknown,AMD,269
AMD Sempron 3000+,CPU,2005-04-01,90,62,1,1800,Unknown,AMD,269
AMD Sempron 3000+,CPU,2005-07-15,90,62,1,1800,Unknown,AMD,269
Intel Pentium M 2.00GHz,CPU,2005-01-19,90,27,1,2000,Intel,Intel,270
Intel Atom D2500,CPU,2011-11-01,32,10,2,1867,Intel,Intel,275
AMD Turion 64 ML-34,CPU,2005-03-10,90,35,1,1800,Unknown,AMD,277
AMD Turion 64 ML-30,CPU,2005-03-10,90,35,1,1600,Unknown,AMD,277
AMD Turion 64 MT-34,CPU,2005-03-10,90,25,1,1800,Unknown,AMD,279
AMD Athlon XP 3200+,CPU,2001-01-01,130,77,1,2200,Unknown,AMD,281
AMD Athlon XP 3100+,CPU,2003-12-01,130,68,1,2200,Unknown,AMD,282
Intel Celeron D 352,CPU,2005-06-28,90,84,1,3200,Intel,Intel,283
Intel Celeron D 352,CPU,2006-05-28,65,84,1,3200,Intel,Intel,283
AMD Turion 64 ML-32,CPU,2005-03-10,90,35,1,1800,Unknown,AMD,285
AMD Turion 64 MT-32,CPU,2005-03-10,90,25,1,1800,Unknown,AMD,286
AMD Sempron 3200+,CPU,2006-05-23,90,35,1,1800,Unknown,AMD,288
AMD Sempron 3200+,CPU,2005-10-01,90,62,1,1800,Unknown,AMD,288
AMD Sempron 3200+,CPU,2006-05-23,90,62,1,1800,Unknown,AMD,288
AMD Sempron 3500+,CPU,2005-10-01,90,62,1,2000,Unknown,AMD,290
AMD Sempron 3500+,CPU,2006-05-23,90,35,1,2000,Unknown,AMD,290
AMD Sempron 3500+,CPU,2006-05-23,90,62,1,2000,Unknown,AMD,290
AMD Athlon 64 3800+,CPU,2004-06-01,130,89,1,2400,Unknown,AMD,292
AMD Athlon 64 3800+,CPU,2006-05-23,90,62,1,2400,Unknown,AMD,292
Intel Pentium M 2.10GHz,CPU,2004-10-20,90,21,1,2100,Intel,Intel,292
AMD Athlon 64 3800+,CPU,2007-02-20,65,45,1,2400,Unknown,AMD,292
AMD Athlon 64 3800+,CPU,2007-02-20,90,59,1,2400,Unknown,AMD,292
AMD Athlon 64 3800+,CPU,2005-04-04,90,89,1,2400,Unknown,AMD,292
AMD Athlon 64 3800+,CPU,2004-06-01,130,89,1,2400,Unknown,AMD,292
AMD Athlon 64 3800+,CPU,2007-02-20,90,62,1,2400,Unknown,AMD,292
Intel Celeron 430,CPU,2007-06-03,65,35,1,1800,Intel,Intel,293
AMD Athlon 64 2800+,CPU,2004-04-27,130,89,1,1800,Unknown,AMD,295
AMD Athlon 64 2800+,CPU,2003-08-01,130,82,1,1800,Unknown,AMD,295
AMD Athlon 64 2800+,CPU,2004-04-27,130,89,1,1800,Unknown,AMD,295
AMD Athlon 64 2800+,CPU,2004-08-01,130,62,1,1800,Unknown,AMD,295
AMD Athlon 64 2800+,CPU,2004-08-01,130,35,1,1800,Unknown,AMD,295
AMD Athlon 64 2800+,CPU,2004-08-01,130,82,1,1800,Unknown,AMD,295
AMD Athlon 64 2800+,CPU,2004-04-27,130,32,1,1800,Unknown,AMD,295
AMD Athlon 64 2800+,CPU,2008-08-01,65,22,1,1800,Unknown,AMD,295
AMD Sempron 3100+,CPU,2005-05-03,90,62,1,1800,Unknown,AMD,298
AMD Sempron 3100+,CPU,2005-01-01,90,25,1,1800,Unknown,AMD,298
AMD Sempron 3100+,CPU,2005-04-01,90,62,1,1800,Unknown,AMD,298
AMD Sempron 3100+,CPU,2005-07-15,90,25,1,1800,Unknown,AMD,298
AMD Sempron 3100+,CPU,2005-07-15,90,62,1,1800,Unknown,AMD,298
Intel Atom Z2760,CPU,2012-09-27,32,3,2,1800,Intel,Intel,298
AMD Sempron 3100+,CPU,2001-01-01,130,25,1,1800,Unknown,AMD,298
AMD Sempron 3100+,CPU,2004-07-28,130,62,1,1800,Unknown,AMD,298
AMD C-70,CPU,2012-09-01,40,9,2,1000,Unknown,AMD,300
AMD Sempron LE-1250,CPU,2007-10-08,65,45,1,2200,Unknown,AMD,301
AMD Athlon 64 3000+,CPU,2003-12-15,130,89,1,2000,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2005-04-14,130,62,1,1800,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2004-04-27,130,89,1,1800,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2006-05-23,90,62,1,1800,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2003-08-01,130,82,1,1800,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2004-08-01,130,62,1,1800,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2001-01-01,90,51,1,2000,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2004-10-14,90,67,1,1800,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2001-01-01,90,51,1,2000,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2004-04-27,130,32,1,1800,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2004-08-01,130,35,1,2000,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2004-04-27,130,89,1,2000,Unknown,AMD,303
AMD Athlon 64 3000+,CPU,2005-04-04,90,67,1,1800,Unknown,AMD,303
Intel Atom E3826,CPU,2013-10-08,22,7,2,1467,Intel,Intel,304
AMD Z-01,CPU,2011-06-01,40,6,2,1000,Unknown,AMD,308
AMD C-60,CPU,2011-08-22,40,9,2,1000,Unknown,AMD,309
AMD Sempron 3300+,CPU,2005-07-15,90,62,1,2000,Unknown,AMD,315
AMD Turion 64 MT-37,CPU,2005-08-08,90,25,1,2000,Unknown,AMD,315
AMD Sempron 3300+,CPU,2005-08-19,90,62,1,2000,Unknown,AMD,315
AMD Sempron 3300+,CPU,2001-01-01,130,62,1,2200,Unknown,AMD,315
AMD Sempron 3300+,CPU,2005-04-01,90,62,1,2000,Unknown,AMD,315
AMD Sempron LE-1100,CPU,2007-08-01,65,45,1,1900,Unknown,AMD,315
AMD Sempron 3300+,CPU,2005-07-15,90,25,1,2000,Unknown,AMD,315
AMD Opteron 144,CPU,2005-08-02,90,67,1,1800,Unknown,AMD,316
AMD Opteron 144,CPU,2005-08-02,90,67,1,1800,Unknown,AMD,316
Intel Core2 Duo U7600,CPU,2007-04-27,65,10,2,1200,Intel,Intel,316
Intel Core2 Duo U7600,CPU,2007-04-27,65,10,2,1200,Intel,Intel,316
AMD Opteron 144,CPU,2003-06-30,130,85,1,1800,Unknown,AMD,316
AMD Opteron 144,CPU,2004-05-18,130,82,1,1800,Unknown,AMD,316
AMD Opteron 144,CPU,2003-09-09,130,82,1,1800,Unknown,AMD,316
Intel Core Duo T2050,CPU,2005-05-01,65,31,2,1600,Intel,Intel,320
AMD Sempron 3400+,CPU,2006-05-23,90,35,1,1800,Unknown,AMD,321
AMD Sempron 3400+,CPU,2006-01-23,90,62,1,2000,Unknown,AMD,321
AMD Sempron 3400+,CPU,2006-05-23,90,62,1,1800,Unknown,AMD,321
AMD Sempron 3400+,CPU,2005-10-01,90,62,1,2000,Unknown,AMD,321
AMD Sempron 3400+,CPU,2005-08-01,90,62,1,2000,Unknown,AMD,321
AMD Sempron 3400+,CPU,2006-05-17,90,25,1,2000,Unknown,AMD,321
Intel Atom N2600,CPU,2011-12-01,32,4,2,1600,Intel,Intel,323
Intel Core Duo T2300,CPU,2006-01-05,65,31,2,1660,Intel,Intel,330
AMD Turion 64 ML-37,CPU,2005-03-10,90,35,1,2000,Unknown,AMD,334
Intel Atom N570,CPU,2011-03-01,45,9,2,1667,Intel,Intel,335
Intel Celeron N2805,CPU,2013-09-11,22,4,2,1463,Intel,Intel,335
AMD Turion 64 ML-40,CPU,2005-06-22,90,35,1,2200,Unknown,AMD,336
AMD Athlon 64 4000+,CPU,2007-02-20,90,62,1,2600,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2001-01-01,130,89,1,2200,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2005-04-04,90,67,1,2000,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2004-10-14,90,67,1,2000,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2006-05-23,90,62,1,2000,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2005-04-14,130,83,1,2000,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2004-08-01,130,62,1,2000,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2003-09-23,130,89,1,2000,Unknown,AMD,340
AMD Athlon 64 4000+,CPU,2007-02-20,90,59,1,2600,Unknown,AMD,340
AMD Athlon 64 4000+,CPU,2001-01-01,90,89,1,2400,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2004-04-27,130,89,1,2000,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2005-05-31,90,67,1,2000,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2005-04-14,130,62,1,2000,Unknown,AMD,340
AMD Athlon 64 4000+,CPU,2004-10-19,90,89,1,2400,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2007-02-20,65,45,1,2000,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2004-04-27,130,89,1,2200,Unknown,AMD,340
AMD Athlon 64 3200+,CPU,2001-01-01,90,59,1,2200,Unknown,AMD,340
AMD Athlon 64 4000+,CPU,2004-10-19,130,89,1,2400,Unknown,AMD,340
AMD Athlon 64 4000+,CPU,2005-08-16,130,62,1,2600,Unknown,AMD,340
Intel Core2 Duo U7700,CPU,2007-12-27,65,10,2,1333,Intel,Intel,345
Intel Core2 Duo U7700,CPU,2008-02-27,65,10,2,1333,Intel,Intel,345
AMD Opteron 146,CPU,2003-09-09,130,89,1,2000,Unknown,AMD,346
AMD Opteron 146,CPU,2005-08-02,90,67,1,2000,Unknown,AMD,346
AMD Opteron 146,CPU,2005-08-02,90,67,1,2000,Unknown,AMD,346
AMD Opteron 146,CPU,2005-08-02,90,67,1,2000,Unknown,AMD,346
AMD Opteron 146,CPU,2004-02-14,130,55,1,2000,Unknown,AMD,346
Intel Core Duo T2250,CPU,2006-05-01,65,31,2,1733,Intel,Intel,347
Intel Core Duo L2400,CPU,2006-01-05,65,15,2,1666,Intel,Intel,348
Intel Core Duo L2400,CPU,2006-09-03,65,9,2,1066,Intel,Intel,348
Intel Core Duo T2400,CPU,2006-01-05,65,31,2,1826,Intel,Intel,349
AMD Sempron LE-1200,CPU,2007-08-01,65,45,1,2100,Unknown,AMD,349
AMD E-300,CPU,2011-08-22,40,18,2,1300,Unknown,AMD,359
AMD Sempron 3800+,CPU,2006-10-23,90,62,1,2200,Unknown,AMD,360
AMD Sempron 3600+,CPU,2006-05-17,90,62,1,2200,Unknown,AMD,364
AMD Sempron 3600+,CPU,2006-05-23,90,62,1,2000,Unknown,AMD,364
Intel Celeron 440,CPU,2007-06-03,65,35,1,2000,Intel,Intel,368
Intel Celeron 440,CPU,2008-05-01,65,65,1,1866,Intel,Intel,368
Intel Atom 330,CPU,2008-06-03,45,8,2,1600,Intel,Intel,371
AMD E1-1200,CPU,2012-06-06,40,18,2,1400,Unknown,AMD,372
